,Parcelle 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,37,,38,,39,,40,40,41,,,,,,,,,,,,
,,bande fleurie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Artichauts,,,,,,,,semis le 19/6,,,,,,,,,,,,,,,,,,,,,,,,,,mais,,,,impala / rouge/ fleur,,,,,,,,,,choux belot/ cantasa,,,,,,,,,31/39 oignons,,,,,,,,,,,,,,,,,échalotes,,,,,,,,,,,,,,,
,,,,,,,,,,,,jaune du doubs p6 starca p789 chantenay p1011 nantaise p121314,,,,,,,,,,,,,,,,,,,,,,,,,,30/6,,,,brocoli/ romanesco,,,,,,,,,,odysseus,,,,,,,,,,oignons mars avril mai,,,,,,,,,,,,,,,,le 21/3,,,,,,,,,,,,,,,
,,,,,,,,,,,,colmar p151617 rouge sang p18,,,,,,,,,,,,,,,,,,,,,,,,,,,,haricot,,,,le 27 et 28 juin,,,,,,,,le 8/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,mauvaise levée ressemis le 7/7 p8 à p13,,,,,,,,,,,,,,,,,,,,,,,,13/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,nantaise améliorée ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engrais vert le 26/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parcelle 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,37,,38,,39,,40,,42,,43,,44,,45,,,,,,
