Espèce,Variété,Fournisseur,Remarque,Délai croissance plants (j),lieu,Date en terre,Localisation,Durée avant récolte (j),Longueur de rang de cette série (m),Date réalisation plants,Date réelle,Date début récolte,Mode de prélèvement,étalement récolte si pas SD (sem),Étalement récolte (sem),à ne pas faire,Date fin récolte,Fin livraison,Nb de séries,Longueur de  rang totale (m),Longueur de  rang par livraison (m),Intra rang (cm),Nombre de rangs retenus,Nb graines à semer par trou,Nombre de trous pour chaque série,Production théorique par trou (kg),Prod. de la série (kg),besoin hebdo (kg),Nb graines par gramme,Poids par graine (g),Nb graines par m,Nombre de graines,Poids de graines (g),Nb mottes/m,Nombre de mottes,Nb trous par plaque,NbPieds/m²,longueur de planche (m),Surface (m²),nb planches,Poids par pièce (g),Conso hebdo par distrib,unité,semaine prépa plants,N° semaine plantation ou semis,01/01/2018,08/01/2018,15/01/2018,22/01/2018,29/01/2018,05/02/2018,12/02/2018,19/02/2018,26/02/2018,05/03/2018,12/03/2018,19/03/2018,26/03/2018,02/04/2018,09/04/2018,16/04/2018,23/04/2018,30/04/2018,07/05/2018,14/05/2018,21/05/2018,28/05/2018,04/06/2018,11/06/2018,18/06/2018,25/06/2018,02/07/2018,09/07/2018,16/07/2018,23/07/2018,30/07/2018,06/08/2018,13/08/2018,20/08/2018,27/08/2018,03/09/2018,10/09/2018,17/09/2018,24/09/2018,01/10/2018,08/10/2018,15/10/2018,22/10/2018,29/10/2018,05/11/2018,12/11/2018,19/11/2018,26/11/2018,03/12/2018,10/12/2018,17/12/2018,24/12/2018,31/12/2018,07/01/2019,14/01/2019,21/01/2019,28/01/2019,04/02/2019,11/02/2019,18/02/2019,25/02/2019,04/03/2019,11/03/2019,18/03/2019,25/03/2019,01/04/2019,08/04/2019,15/04/2019,22/04/2019,29/04/2019,06/05/2019,13/05/2019,20/05/2019,27/05/2019,03/06/2019,10/06/2019,17/06/2019,24/06/2019,01/07/2019,08/07/2019,15/07/2019,22/07/2019,29/07/2019,05/08/2019,12/08/2019,19/08/2019,26/08/2019,02/09/2019,09/09/2019,16/09/2019,23/09/2019
Epinard,Matador,AGROSEMENS,3 coupes max ; 3 série,21,SERRE,15/10/2018,,30,"30,7539682539683",24/09/2018,,14/11/2018,,8,8,,09/01/2019,,4,"123,015873015873","12,3015873015873",25,4,3,"123,015873015873","0,4","49,2063492063492","3,69047619047619",100,"0,01","13,3333333333333","410,052910052909","4,10052910052909","4,44444444444444","136,68430335097",77,16,"7,68849206349206","9,22619047619047","0,256283068783069",400,"17,7142857142857",kg,39,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâche,Vit,AGROSEMENS,,30,SERRE,01/11/2018,,90,"37,9591836734693",02/10/2018,,30/01/2019,SD,,"1,14285714285714",,06/02/2019,,7,"265,714285714285","33,2142857142857",15,6,5,"253,061224489795","0,05","12,6530612244898","1,47619047619047",1000,"0,001","37,037037037037","1405,89569160997","1,40589569160997","7,40740740740741","281,179138321995",77,40,"6,32653061224488","7,59183673469386","0,210884353741496",50,"8,85714285714285",kg,40,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roquette,cultivée,AGROSEMENS,,20,SERRE,10/11/2018,,80,"14,7619047619047",21/10/2018,,29/01/2019,SD,,"3,33333333333333",,19/02/2019,,3,"44,2857142857142","4,42857142857142",15,6,5,"98,4126984126983","0,15","14,7619047619047","0,738095238095237",500,"0,002","37,037037037037","546,737213403879","1,09347442680776","7,40740740740741","109,347442680776",77,40,"2,46031746031746","2,95238095238095","0,0820105820105819",150,"3,54285714285714",kg,42,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinard,Matador,AGROSEMENS,,21,SERRE,15/11/2018,,,"30,7539682539683",25/10/2018,,15/11/2018,,8,8,,10/01/2019,,4,"123,015873015873","12,3015873015873",25,4,3,"123,015873015873","0,4","49,2063492063492","3,69047619047619",100,"0,01","13,3333333333333","410,052910052909","4,10052910052909","4,44444444444444","136,68430335097",77,16,"7,68849206349206","9,22619047619047","0,256283068783069",400,"17,7142857142857",kg,43,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,R,R,R,R,R,R,R,R,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pourpier,claytone de cuba,GERMINANCE,,0,SERRE,15/11/2018,,,"35,4285714285714",,,15/11/2018,SD,,6,,27/12/2018,,1,"35,4285714285714","5,9047619047619",15,6,3,"236,190476190476","0,2","47,2380952380952","0,885714285714285",2200,"0,000454545454545455","22,2222222222222","787,301587301586","0,357864357864357","7,40740740740741","262,433862433862",77,40,"5,9047619047619","7,08571428571428","0,196825396825397",200,"7,08571428571428",kg,,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,R,R,R,R,R,R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâche,Verte de Cambrai,AGROSEMENS,,30,SERRE,01/12/2018,,90,"37,9591836734693",01/11/2018,,01/03/2019,SD,,"1,14285714285714",,08/03/2019,,7,"265,714285714285","33,2142857142857",15,6,5,"253,061224489795","0,05","12,6530612244898","1,47619047619047",1000,"0,001","37,037037037037","1405,89569160997","1,40589569160997","7,40740740740741","281,179138321995",77,40,"6,32653061224488","7,59183673469386","0,210884353741496",50,"8,85714285714285",kg,44,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,merveille des 4 saisons,GERMINANCE,,40,SERRE,10/12/2018,,84,"14,234693877551",31/10/2018,,04/03/2019,SD,,"2,25",,18/03/2019,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,44,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roquette,cultivée,AGROSEMENS,,20,SERRE,10/12/2018,,80,"14,7619047619047",20/11/2018,,28/02/2019,SD,,"3,33333333333333",,21/03/2019,,3,"44,2857142857142","4,42857142857142",15,6,5,"98,4126984126983","0,15","14,7619047619047","0,738095238095237",500,"0,002","37,037037037037","546,737213403879","1,09347442680776","7,40740740740741","109,347442680776",77,40,"2,46031746031746","2,95238095238095","0,0820105820105819",150,"3,54285714285714",kg,47,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinard,Matador,AGROSEMENS,,21,SERRE,15/12/2018,,35,"30,7539682539683",24/11/2018,,19/01/2019,,8,8,,16/03/2019,,4,"123,015873015873","12,3015873015873",25,4,3,"123,015873015873","0,4","49,2063492063492","3,69047619047619",75,"0,0133333333333333","13,3333333333333","410,052910052909","5,46737213403879","4,44444444444444","136,68430335097",77,16,"7,68849206349206","9,22619047619047","0,256283068783069",400,"17,7142857142857",kg,47,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,,-,R,R,R,R,R,R,R,R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâche,Vit,AGROSEMENS,,30,SERRE,15/12/2018,,90,"37,9591836734693",15/11/2018,,15/03/2019,SD,,"1,14285714285714",,22/03/2019,,7,"265,714285714285","33,2142857142857",15,6,5,"253,061224489795","0,05","12,6530612244898","1,47619047619047",1000,"0,001","37,037037037037","1405,89569160997","1,40589569160997","7,40740740740741","281,179138321995",77,40,"6,32653061224488","7,59183673469386","0,210884353741496",50,"8,85714285714285",kg,46,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,merveille d'hiver,GERMINANCE,,40,SERRE,20/12/2018,,84,"14,234693877551",10/11/2018,,14/03/2019,SD,,"2,25",,28/03/2019,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,45,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis rose,De 18 jours,AGROSEMENS,,0,CHAMP,02/09/2019,,28,"25,7439446366782",,,30/09/2019,SD,,"0,999999999999999",,30/09/2019,,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,4,3,7,9,10,11,14,10,12,13,15,13,11,23,23,25,23,25,32,25,26,34,25,24,24,13,12,12,14,13,10,9,9,11,9,10,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
